training_budget,epoch_index,display_epoch,training_loss,training_seconds,validation_HR@10,validation_NDCG@10,validation_hit_count,mean_positive_rank,median_positive_rank,validation_seconds,became_best,global_optimizer_step,test_cases_scored,best_so_far_NDCG@10,best_so_far_HR@10
1pct,19,20,0.0343246217096447,321.57133933901787,0.1532652154597956,0.0738341437149119,345,43.036872501110615,40.0,8.374203888699412,False,2100,0,0.0802072682286249,0.1630386494891159
5pct,0,1,0.4777334550224901,1575.7985196504742,0.2087960906263882,0.1015538880583716,470,37.27054642381164,32.0,7.796786261722445,True,525,0,0.1015538880583716,0.2087960906263882
5pct,1,2,0.4347666138908402,1583.5207003112882,0.2474455797423367,0.1273745491448841,557,33.12705464238116,26.0,7.391152892261744,True,1050,0,0.1273745491448841,0.2474455797423367
5pct,2,3,0.3653144591250558,1669.315888531506,0.2612172367836517,0.1320623772556171,588,34.254997778764995,29.0,9.051730601117017,True,1575,0,0.1320623772556171,0.2612172367836517
5pct,3,4,0.2722356531006096,1662.3129135202616,0.2443358507330075,0.1315811123391674,550,35.90448689471346,31.0,7.817556051537395,False,2100,0,0.1320623772556171,0.2612172367836517
5pct,4,5,0.1992475104834692,1581.8990373183042,0.2421146157263438,0.1278476669520686,545,36.629498000888496,31.0,7.719742292538285,False,2625,0,0.1320623772556171,0.2612172367836517
5pct,5,6,0.1562317032769773,1641.033567480743,0.2354509107063527,0.1284808326568681,530,36.368280764104846,32.0,7.866016721352935,False,3150,0,0.1320623772556171,0.2612172367836517
5pct,6,7,0.1262776194867157,1608.9090575240552,0.2310084406930253,0.1240953023796192,520,36.1737005775211,31.0,7.967430399730802,False,3675,0,0.1320623772556171,0.2612172367836517
5pct,7,8,0.1060867239918172,1618.819853445515,0.2501110617503332,0.1328082835353891,563,35.17992003553976,30.0,7.929717618972063,True,4200,0,0.1328082835353891,0.2612172367836517
5pct,8,9,0.0924299727708111,1588.2402601316571,0.2430031097290093,0.1314824582363394,547,35.349622390048864,30.0,7.840355657041073,False,4725,0,0.1328082835353891,0.2612172367836517
5pct,9,10,0.0840341946895077,1605.5884098690003,0.2447800977343402,0.1305876482277845,551,34.78587294535762,29.0,7.740794686600566,False,5250,0,0.1328082835353891,0.2612172367836517
5pct,10,11,0.0730380101148781,1610.45966777578,0.2456685917370057,0.1306298950765608,553,35.35584184806753,30.0,8.332482120022178,False,5775,0,0.1328082835353891,0.2612172367836517
5pct,11,12,0.0643745010326923,1611.360562408343,0.2612172367836517,0.1381843439949563,588,34.48778320746335,29.0,8.127808004617691,True,6300,0,0.1381843439949563,0.2612172367836517
5pct,12,13,0.0587495349754956,1608.9985541403294,0.2532207907596623,0.1353544786996439,570,34.835628609506884,29.0,7.870851384475827,False,6825,0,0.1381843439949563,0.2612172367836517
5pct,13,14,0.0532081069304232,1635.2798149958253,0.2496668147490004,0.1342283710067993,562,35.00932918702799,30.0,7.729188615456224,False,7350,0,0.1381843439949563,0.2612172367836517
